iter	Passed	Remaining
186	33343	144963
187	33531	144827
188	33689	144561
189	33852	144319
190	34004	144027
191	34183	143856
192	34329	143544
193	34516	143404
194	34693	143221
195	34874	143056
196	35089	143028
197	35264	142837
198	35437	142640
199	35607	142430
200	35756	142136
201	35895	141805
202	36074	141631
203	36236	141391
204	36447	141344
205	36631	141191
206	36822	141064
207	36997	140874
208	37167	140669
209	37314	140374
210	37500	140228
211	37672	140027
212	37818	139731
213	37998	139562
214	38166	139353
215	38339	139157
216	38501	138924
217	38681	138757
218	38831	138480
219	38995	138257
220	39182	138113
221	39349	137902
222	39523	137710
223	39695	137515
224	39903	137444
225	40035	137113
226	40233	137007
227	40416	136847
228	40589	136658
229	40736	136378
230	40878	136083
231	41078	135984
232	41226	135712
233	41395	135509
234	41547	135249
235	41729	135091
236	41902	134901
237	42089	134756
238	42298	134682
239	42480	134521
240	42662	134361
241	42837	134176
242	43004	133967
243	43178	133783
244	43352	133595
245	43498	133324
246	43678	133157
247	43862	133003
248	44025	132785
249	44181	132543
250	44398	132487
251	44580	132326
252	44758	132154
253	44939	131988
254	45119	131819
255	45260	131536
256	45403	131263
257	45547	130994
258	45718	130801
259	45876	130571
260	46028	130326
261	46191	130111
262	46326	129820
263	46508	129658
264	46667	129435
265	46811	129171
266	46977	128969
267	47153	128792
268	47303	128547
269	47484	128383
270	47674	128245
271	47831	128020
272	48024	127888
273	48208	127735
274	48359	127492
275	48503	127234
276	48684	127070
277	48835	126831
278	49012	126658
279	49173	126447
280	49325	126210
281	49487	125999
282	49648	125787
283	49805	125565
284	49961	125341
285	50141	125177
286	50283	124921
287	50449	124722
288	50592	124466
289	50742	124231
290	50902	124020
291	51071	123831
292	51238	123636
293	51423	123486
294	51579	123265
295	51755	123094
296	51989	123059
297	52146	122841
298	52316	122654
299	52445	122372
300	52610	122175
301	52788	122007
302	52953	121809
303	53109	121592
304	53274	121395
305	53453	121230
306	53639	121082
307	53787	120847
308	53963	120676
309	54130	120483
310	54279	120252
311	54420	120004
312	54607	119858
313	54769	119655
314	54926	119442
315	55099	119266
316	55277	119098
317	55431	118881
318	55615	118727
319	55774	118521
320	55977	118406
321	56153	118235
322	56291	117985
323	56431	117739
324	56582	117518
325	56776	117383
326	56915	117137
327	57054	116892
328	57228	116718
329	57369	116478
330	57531	116279
331	57698	116091
332	57841	115856
333	58048	115748
334	58266	115664
335	58425	115459
336	58578	115245
337	58739	115046
338	58895	114837
339	59048	114622
340	59214	114434
341	59371	114228
342	59520	114009
343	59680	113810
344	59828	113587
345	60004	113419
346	60189	113266
347	60364	113097
348	60539	112926
349	60703	112734
350	60868	112546
351	61022	112337
352	61198	112167
353	61342	111940
354	61499	111738
355	61675	111569
356	61846	111393
357	62008	111198
358	62166	110998
359	62332	110813
360	62522	110670
361	62669	110451
362	62820	110238
363	62973	110030
364	63159	109879
365	63332	109706
366	63521	109561
367	63672	109350
368	63859	109202
369	64005	108982
370	64174	108802
371	64319	108582
372	64490	108406
373	64645	108203
374	64806	108010
375	64973	107828
376	65119	107610
377	65289	107433
378	65437	107221
379	65623	107069
380	65796	106898
381	65948	106691
382	66117	106513
383	66284	106331
384	66474	106185
385	66647	106014
386	66811	105827
387	66994	105671
388	67142	105460
389	67281	105235
390	67422	105013
391	67559	104786
392	67702	104568
393	67838	104339
394	68002	104155
395	68160	103961
396	68318	103768
397	68478	103578
398	68662	103423
399	68829	103244
400	68981	103041
401	69166	102889
402	69325	102697
403	69500	102529
404	69649	102324
405	69801	102123
406	69958	101930
407	70124	101749
408	70252	101514
409	70402	101310
410	70576	101142
411	70758	100985
412	70900	100771
413	71059	100582
414	71223	100398
415	71405	100242
416	71534	100011
417	71717	99855
418	71879	99671
419	72078	99536
420	72245	99359
421	72421	99193
422	72626	99067
423	72785	98879
424	72947	98693
425	73107	98505
426	73269	98321
427	73451	98164
428	73596	97957
429	73765	97782
430	73960	97642
431	74145	97487
432	74290	97281
433	74452	97096
434	74606	96902
435	74758	96705
436	74905	96502
437	75065	96317
438	75215	96118
439	75402	95966
440	75562	95780
441	75766	95651
442	75963	95511
443	76136	95341
444	76260	95111
445	76436	94946
446	76589	94751
447	76731	94543
448	76901	94371
449	77063	94188
450	77231	94013
451	77383	93818
452	77534	93623
453	77703	93449
454	77855	93255
455	78003	93056
456	78149	92855
457	78294	92654
458	78445	92459
459	78561	92224
460	78702	92018
461	78879	91855
462	79029	91661
463	79172	91458
464	79351	91297
465	79523	91127
466	79689	90952
467	79868	90790
468	80056	90640
469	80219	90460
470	80385	90283
471	80546	90103
472	80701	89914
473	80877	89749
474	81040	89570
475	81212	89401
476	81351	89196
477	81547	89053
478	81711	88876
479	81862	88683
480	82007	88486
481	82193	88332
482	82361	88159
483	82493	87947
484	82689	87804
485	82833	87605
486	82976	87406
487	83141	87230
488	83278	87025
489	83426	86831
490	83544	86607
491	83712	86434
492	83877	86259
493	84060	86102
494	84203	85904
495	84369	85730
496	84503	85523
497	84680	85360
498	84851	85191
499	85000	85000
500	85152	84812
501	85295	84616
502	85529	84509
503	85683	84323
504	85832	84133
505	85992	83953
506	86150	83771
507	86315	83596
508	86468	83410
509	86656	83257
510	86792	83056
511	86975	82898
512	87149	82732
513	87302	82546
514	87494	82397
515	87626	82191
516	87776	82003
517	87955	81842
518	88102	81652
519	88265	81476
520	88424	81296
521	88621	81151
522	88807	80996
523	88953	80804
524	89137	80648
525	89280	80454
526	89432	80268
527	89641	80134
528	89800	79954
529	89968	79783
530	90106	79585
531	90275	79414
532	90416	79220
533	90564	79032
534	90745	78872
535	90890	78681
536	91041	78495
537	91214	78329
538	91357	78136
539	91542	77980
540	91712	77811
541	91860	77623
542	91996	77426
543	92189	77276
544	92347	77097
545	92543	76950
546	92673	76747
547	92828	76566
548	92976	76379
549	93129	76196
550	93293	76023
551	93460	75851
552	93608	75665
553	93762	75484
554	93903	75292
555	94042	75098
556	94175	74900
557	94359	74743
558	94537	74581
559	94712	74416
560	94858	74229
561	95028	74061
562	95192	73888
563	95365	73722
564	95529	73549
565	95687	73371
566	95871	73214
567	96013	73024
568	96183	72856
569	96346	72682
570	96521	72518
571	96659	72325
572	96807	72140
573	96973	71970
574	97150	71806
575	97339	71652
576	97478	71461
577	97640	71287
578	97806	71116
579	97989	70958
580	98126	70765
581	98291	70593
582	98451	70419
583	98573	70216
584	98729	70038
585	98874	69853
586	99033	69677
587	99189	69500
588	99324	69307
589	99497	69142
590	99660	68969
591	99820	68795
592	99978	68619
593	100136	68443
594	100285	68261
595	100474	68106
596	100621	67924
597	100773	67743
598	100926	67564
599	101096	67397
600	101229	67205
601	101423	67053
602	101596	66888
603	101733	66699
604	101875	66513
605	102009	66322
606	102157	66141
607	102297	65955
608	102470	65789
609	102597	65595
610	102744	65413
611	102932	65257
612	103079	65076
613	103229	64896
614	103371	64712
615	103511	64526
616	103690	64365
617	103893	64219
618	104042	64039
619	104192	63860
620	104325	63670
621	104506	63510
622	104671	63340
623	104810	63154
624	104991	62995
625	105162	62828
626	105319	62654
627	105513	62501
628	105652	62316
629	105831	62154
630	105974	61972
631	106137	61801
632	106264	61609
633	106437	61445
634	106596	61271
635	106785	61116
636	106942	60941
637	107088	60761
638	107238	60583
639	107394	60409
640	107548	60233
641	107699	60056
642	107872	59892
643	108044	59726
644	108204	59554
645	108386	59394
646	108525	59211
647	108656	59023
648	108782	58833
649	108931	58655
650	109104	58490
651	109270	58322
652	109424	58147
653	109576	57971
654	109741	57802
655	109908	57635
656	110024	57440
657	110185	57269
658	110351	57101
659	110542	56945
660	110739	56793
661	110900	56623
662	111058	56450
663	111204	56272
664	111368	56102
665	111527	55931
666	111665	55749
667	111804	55567
668	111957	55393
669	112105	55215
670	112243	55034
671	112392	54858
672	112589	54705
673	112785	54552
674	112925	54371
675	113089	54202
676	113229	54022
677	113379	53846
678	113558	53685
679	113729	53519
680	113973	53388
681	114134	53217
682	114267	53034
683	114446	52872
684	114636	52716
685	114811	52552
686	114990	52390
687	115132	52211
688	115306	52046
689	115457	51872
690	115602	51694
691	115775	51529
692	115925	51355
693	116058	51172
694	116233	51009
695	116388	50836
696	116566	50674
697	116733	50506
698	116880	50330
699	117030	50155
700	117215	49996
701	117378	49827
702	117558	49665
703	117719	49495
704	117879	49325
705	118016	49145
706	118154	48966
707	118318	48798
708	118509	48640
709	118674	48472
710	118849	48308
711	118998	48134
712	119123	47950
713	119262	47771
714	119419	47600
715	119600	47439
716	119764	47271
717	119943	47108
718	120097	46936
719	120323	46792
720	120495	46627
721	120641	46452
722	120774	46271
723	120907	46091
724	121060	45919
725	121184	45736
726	121340	45565
727	121479	45387
728	121626	45213
729	121745	45029
730	121920	44865
731	122066	44691
732	122237	44525
733	122421	44365
734	122554	44186
735	122702	44012
736	122842	43836
737	123004	43668
738	123150	43494
739	123302	43322
740	123439	43145
741	123554	42961
742	123748	42804
743	123927	42641
744	124051	42460
745	124232	42298
746	124394	42130
747	124572	41968
748	124706	41790
749	124858	41619
750	125044	41459
751	125216	41294
752	125401	41134
753	125575	40970
754	125743	40804
755	125922	40641
756	126061	40466
757	126236	40302
758	126395	40133
759	126567	39968
760	126745	39805
761	126889	39632
762	127023	39455
763	127215	39296
764	127399	39135
765	127565	38969
766	127760	38811
767	127929	38645
768	128084	38475
769	128233	38303
770	128391	38134
771	128573	37972
772	128757	37810
773	128912	37640
774	129050	37466
775	129216	37299
776	129371	37129
777	129518	36957
778	129705	36796
779	129844	36622
780	130032	36462
781	130176	36289
782	130352	36125
783	130515	35958
784	130670	35788
785	130824	35618
786	131001	35455
787	131150	35284
788	131313	35116
789	131457	34944
790	131608	34773
791	131806	34615
792	131980	34451
793	132180	34293
794	132330	34122
795	132493	33955
796	132648	33786
797	132802	33616
798	132965	33449
799	133152	33288
800	133294	33115
801	133508	32960
802	133641	32786
803	133806	32619
804	133960	32450
805	134131	32284
806	134311	32121
807	134455	31949
808	134610	31780
809	134774	31613
810	134923	31443
811	135093	31277
812	135249	31109
813	135459	30952
814	135606	30781
815	135769	30614
816	135916	30443
817	136070	30274
818	136255	30112
819	136430	29948
820	136583	29778
821	136758	29614
822	136935	29450
823	137095	29282
824	137242	29112
825	137404	28944
826	137579	28780
827	137751	28615
828	137900	28445
829	138054	28276
830	138223	28110
831	138370	27940
832	138508	27768
833	138628	27592
834	138793	27426
835	138951	27258
836	139100	27088
837	139281	26925
838	139427	26755
839	139612	26592
840	139795	26429
841	139935	26258
842	140111	26094
843	140274	25927
844	140410	25755
845	140569	25588
846	140714	25418
847	140886	25253
848	141056	25087
849	141267	24929
850	141438	24764
851	141591	24595
852	141737	24426
853	141884	24256
854	142028	24086
855	142188	23919
856	142358	23754
857	142491	23582
858	142646	23414
859	142836	23252
860	143005	23086
861	143167	22920
862	143350	22756
863	143513	22590
864	143666	22421
865	143797	22250
866	143942	22081
867	144114	21915
868	144249	21745
869	144390	21575
870	144547	21408
871	144747	21247
872	144930	21083
873	145100	20918
874	145262	20751
875	145421	20584
876	145581	20417
877	145739	20250
878	145898	20083
879	146039	19914
880	146191	19746
881	146342	19578
882	146509	19412
883	146695	19249
884	146842	19081
885	147009	18915
886	147189	18751
887	147389	18589
888	147568	18425
889	147744	18260
890	147921	18095
891	148080	17929
892	148223	17760
893	148358	17590
894	148521	17424
895	148723	17262
896	148850	17092
897	149016	16926
898	149182	16760
899	149329	16592
900	149523	16429
901	149674	16261
902	149816	16093
903	149970	15926
904	150107	15757
905	150280	15592
906	150463	15427
907	150614	15260
908	150768	15093
909	150897	14923
910	151076	14759
911	151206	14590
912	151347	14421
913	151544	14259
914	151682	14090
915	151818	13922
916	151993	13757
917	152148	13590
918	152297	13423
919	152440	13255
920	152604	13089
921	152733	12921
922	152929	12757
923	153098	12592
924	153287	12428
925	153436	12261
926	153618	12097
927	153791	11932
928	153949	11765
929	154095	11598
930	154248	11431
931	154391	11264
932	154583	11100
933	154748	10935
934	154891	10767
935	155033	10600
936	155210	10435
937	155354	10268
938	155501	10101
939	155654	9935
940	155851	9771
941	155990	9604
942	156167	9439
943	156349	9274
944	156503	9108
945	156677	8943
946	156844	8778
947	157001	8611
948	157170	8446
949	157360	8282
950	157543	8117
951	157695	7951
952	157873	7786
953	158061	7621
954	158217	7455
955	158351	7288
956	158514	7122
957	158680	6956
958	158866	6792
959	159020	6625
960	159210	6461
961	159383	6295
962	159523	6129
963	159672	5962
964	159846	5797
965	159991	5631
966	160126	5464
967	160286	5298
968	160457	5133
969	160616	4967
970	160766	4801
971	160915	4635
972	161051	4469
973	161205	4303
974	161345	4137
975	161513	3971
976	161637	3805
977	161786	3639
978	161948	3473
979	162140	3308
980	162309	3143
981	162461	2977
982	162585	2811
983	162778	2646
984	162997	2482
985	163146	2316
986	163302	2150
987	163467	1985
988	163645	1820
989	163796	1654
990	163971	1489
991	164130	1323
992	164289	1158
993	164426	992
994	164611	827
995	164791	661
996	164948	496
997	165089	330
998	165245	165
999	165410	0
