iter	Logloss
0	0.6380741384
1	0.5912551555
2	0.5487934581
3	0.5146283481
4	0.4826261947
5	0.4553815413
6	0.4333880599
7	0.4141467316
8	0.3953636953
9	0.3793566143
10	0.3650959144
11	0.3526381414
12	0.3413978632
13	0.3311152075
14	0.3222796008
15	0.3150018499
16	0.3082367442
17	0.3022484875
18	0.2967939044
19	0.2921228947
20	0.2880676949
21	0.284369174
22	0.2808133615
23	0.2779962855
24	0.2757067139
25	0.2734310501
26	0.2713261419
27	0.26912717
28	0.2675472462
29	0.2659313853
30	0.264460425
31	0.2630565062
32	0.261723876
33	0.2607652839
34	0.2598131211
35	0.2588630135
36	0.2578919842
37	0.2570695988
38	0.2563264201
39	0.255521726
40	0.2549084914
41	0.2543578337
42	0.253766503
43	0.253300895
44	0.252884746
45	0.2523952543
46	0.2520028066
47	0.2515882783
48	0.2512400547
49	0.2507879183
50	0.2505056821
51	0.2501901276
52	0.2498395066
53	0.2495228124
54	0.249251003
55	0.2489916636
56	0.248769515
57	0.2485543208
58	0.2483900518
59	0.2481258351
60	0.2479058403
61	0.2477351141
62	0.2474969167
63	0.2473371883
64	0.2471917609
65	0.2470560903
66	0.2469132258
67	0.246762942
68	0.2465907096
69	0.2464862851
70	0.246364743
71	0.2462173072
72	0.2461158218
73	0.245986964
74	0.2458943313
75	0.2457434633
76	0.2456266839
77	0.2455110519
78	0.2453747266
79	0.2452927268
80	0.2451937716
81	0.2451188838
82	0.2449964683
83	0.2448680608
84	0.2447402095
85	0.2446473361
86	0.2445737374
87	0.2444620305
88	0.2443512432
89	0.2442747242
90	0.2441607411
91	0.2440592149
92	0.243937143
93	0.2438380931
94	0.2437832058
95	0.2437038794
96	0.2436065218
97	0.2435252187
98	0.2434466374
99	0.2433630118
100	0.243248515
101	0.2431706235
102	0.243105713
103	0.2430377168
104	0.2429521102
105	0.2428502209
106	0.242765042
107	0.2426798708
108	0.2426014858
109	0.2425392233
110	0.2424814543
111	0.2423899072
112	0.2422991298
113	0.2422357134
114	0.2421731486
115	0.2421287065
116	0.2420772427
117	0.242028716
118	0.2419832917
119	0.2419198641
120	0.2418570669
121	0.2417888339
122	0.2417293873
123	0.2416799731
124	0.2416236005
125	0.241551778
126	0.2414882426
127	0.2414201574
128	0.2413559899
129	0.2413120582
130	0.2412414408
131	0.2411681424
132	0.2411246275
133	0.2410555704
134	0.241002817
135	0.2409599433
136	0.2409148505
137	0.2408529835
138	0.2407838614
139	0.2407296759
140	0.2406706727
141	0.2406054627
142	0.2405591156
143	0.240505404
144	0.2404680112
145	0.2404197032
146	0.2403704332
147	0.2403294825
148	0.2402872115
149	0.2402454039
150	0.2401771161
151	0.2401325336
152	0.240094514
153	0.2400562848
154	0.2400164229
155	0.2399758124
156	0.2399327267
157	0.2398880228
158	0.239850164
159	0.2398100503
160	0.2397797268
161	0.2397491623
162	0.2397040563
163	0.2396280254
164	0.2395888066
165	0.2395328407
166	0.2394735357
167	0.2394228727
168	0.2393740885
169	0.2393414297
170	0.2393027546
171	0.2392520159
172	0.2392183704
173	0.2391849614
174	0.239142633
175	0.2390945521
176	0.2390549254
177	0.2390095957
178	0.2389889394
179	0.2389451725
180	0.2389057675
181	0.2388666299
182	0.2388221885
183	0.2387875377
184	0.2387546642
185	0.2387308991
186	0.2386894087
187	0.2386561557
188	0.2386218351
189	0.2385823243
190	0.2385486376
191	0.2385171504
192	0.2384880347
193	0.2384352617
194	0.2383922641
195	0.2383564488
196	0.2383255612
197	0.2382959965
198	0.238265258
199	0.2382323458
200	0.2381994431
201	0.2381738775
202	0.2381346312
203	0.2381023312
204	0.2380638929
205	0.2380280962
206	0.2379877112
207	0.2379493055
208	0.2379208543
209	0.2378901465
210	0.2378422423
211	0.2377998857
212	0.2377752796
213	0.2377308117
214	0.2377031797
215	0.2376663813
216	0.2376268113
217	0.2375882686
218	0.2375567419
219	0.2375214483
220	0.2374834305
221	0.2374526154
222	0.2374176569
223	0.2373832439
224	0.2373412838
225	0.2373128628
226	0.2372860317
227	0.2372615358
228	0.2372128405
229	0.23717915
230	0.237156707
231	0.2371111208
232	0.2370878597
233	0.2370589038
234	0.237036192
235	0.2369942548
236	0.2369614081
237	0.2369384075
238	0.2368873325
239	0.2368541851
240	0.2368167243
241	0.2367870499
242	0.2367571057
243	0.2367265918
244	0.2366891615
245	0.2366614046
246	0.2366223306
247	0.2365887252
248	0.2365577231
249	0.236526364
250	0.2364761055
251	0.2364449483
252	0.2364079547
253	0.2363763524
254	0.2363415595
255	0.236314758
256	0.2362817589
257	0.2362614784
258	0.2362315437
259	0.2362019452
260	0.2361686914
261	0.236122455
262	0.2360971616
263	0.2360646164
264	0.236043904
265	0.2360176803
266	0.235974658
267	0.2359357296
268	0.2359056337
269	0.235864077
270	0.2358090921
271	0.2357737495
272	0.2357332804
273	0.2356924563
274	0.2356605384
275	0.2356366398
276	0.2355936288
277	0.2355649996
278	0.2355242746
279	0.235492493
280	0.2354588518
281	0.2354291352
282	0.2354022401
283	0.2353636972
284	0.235332234
285	0.2352961403
286	0.2352671347
287	0.2352349449
288	0.2352030318
289	0.2351695234
290	0.235142932
291	0.235101405
292	0.2350724748
293	0.2350353028
294	0.2350032344
295	0.2349576012
296	0.2349119142
297	0.2348843283
298	0.2348571887
299	0.2348362927
300	0.2348030855
301	0.2347648446
302	0.234725603
303	0.2347022404
304	0.2346740832
305	0.2346424472
306	0.2346097783
307	0.2345789937
308	0.2345395381
309	0.2345066596
310	0.2344780577
311	0.2344577248
312	0.2344135151
313	0.2343866949
314	0.2343469465
315	0.2343105086
316	0.234265548
317	0.2342378157
318	0.2341991715
319	0.2341619334
320	0.2341122241
321	0.2340665018
322	0.234038358
323	0.2340025663
324	0.233976781
325	0.2339418241
326	0.2339137286
327	0.2338902061
328	0.2338503646
329	0.2338207886
330	0.2337964601
331	0.2337655648
332	0.2337455639
333	0.2337089311
334	0.2336766261
335	0.2336511033
336	0.23362016
337	0.2335886463
338	0.2335624237
339	0.2335302206
340	0.2335077601
341	0.2334727237
342	0.233449406
343	0.2334280067
344	0.233401557
345	0.2333716261
346	0.2333439977
347	0.2333098542
348	0.2332670203
349	0.2332345665
350	0.2332059863
351	0.2331862544
352	0.2331491083
353	0.2331186943
354	0.2330920883
355	0.2330525513
356	0.2330111089
357	0.2329811572
358	0.2329502287
359	0.2329165831
360	0.2328733976
361	0.2328510245
362	0.2328289546
363	0.2327995682
364	0.2327651216
